127.0.0.1, 2016-10-21 20:20:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000872
127.0.0.1, 2016-10-21 20:20:58, POST, /PolarisProject/default/index, HTTP/1.1, 200, 0.065965
127.0.0.1, 2016-10-21 20:20:58, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 304, 0.017382
127.0.0.1, 2016-10-21 20:20:58, GET, /favicon.ico, HTTP/1.1, 400, 0.001683
127.0.0.1, 2016-10-21 20:21:08, POST, /PolarisProject/default/index, HTTP/1.1, 200, 0.095998
127.0.0.1, 2016-10-21 20:21:08, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.001170
127.0.0.1, 2016-10-21 20:21:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000990
127.0.0.1, 2016-10-21 20:21:10, POST, /PolarisProject/default/index, HTTP/1.1, 200, 0.063018
127.0.0.1, 2016-10-21 20:21:10, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 304, 0.001046
127.0.0.1, 2016-10-21 20:21:10, GET, /favicon.ico, HTTP/1.1, 400, 0.007924
127.0.0.1, 2016-10-21 20:21:12, POST, /PolarisProject/default/index, HTTP/1.1, 200, 0.068946
127.0.0.1, 2016-10-21 20:21:12, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 304, 0.001466
127.0.0.1, 2016-10-21 20:21:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000851
127.0.0.1, 2016-10-21 20:21:52, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.065992
